"label","Wikipage page ID","Wikipage revision ID"
"Agarivorans","31911352","678460205"
"Melainabacteria","45660609","653128045"
"Salinicoccus jeotgali","42548992","636436626"
"Treponema primitia","42681362","636384900"
"Actinobacteria","",""
"Firmicutes","219826","673597564"
"Spirochaete","206790","679086926"
"Pseudomonas","",""
"Pelagibacter ubique","866266","679391988"
"Spirulina","8386414","672586539"
"Serratia","573321","682507169"
"البكتيريا الزرنيخية","29856330","683736579"
"Azotobacter","1560158","662691362"
"Desulfovibrio dechloracetivorans","43009832","651608769"
"Desulfovibrio idahonensis","40328918","651608784"
"Maricaulis","12860300","651465555"
"Deltaproteobacteria","5742359","661005503"
"Tamlana","32293698","678462153"
"Acidisphaera","31898629","489388923"
"Alphaproteobacteria","5742361","668122738"
