"birth place","label","Geburtsort","Geburtsdatum"
"","John C. Knapp","",""
"","John Chalmers (moderator)","http://dbpedia.org/resource/Bothwell",""
"http://dbpedia.org/resource/Ostend","John Crombez","http://dbpedia.org/resource/Ostend",""
"Place of birth missing","John Cyrier","","1973"
"http://dbpedia.org/resource/Ohio","John Douglas Simon","http://dbpedia.org/resource/Ohio","1957-02-11"
"http://dbpedia.org/resource/Washington_(state)","John Koenig (diplomat)","http://dbpedia.org/resource/Washington_(state)",""
"","John Maclean (photographer)","",""
"http://dbpedia.org/resource/Bergen","John Magnar Bernes","http://dbpedia.org/resource/Bergen",""
"http://dbpedia.org/resource/United_States","John Solomon Sandridge","http://dbpedia.org/resource/United_States",""
"","John Stutz","http://dbpedia.org/resource/Rorschach","1933-01-14"
"http://dbpedia.org/resource/Delta_State","John Theodore-Edevu","http://dbpedia.org/resource/Delta_State","1988-11-09"
"","Jolly Stanesby","",""
"","Jon Applebaum","","1985-02-13"
"","Jon Guerra","http://dbpedia.org/resource/California",""
"http://dbpedia.org/resource/Colombia","Jon Koznick","http://dbpedia.org/resource/Colombia","1972-07-04"
