"label","birth place","Geburtsdatum"
"Jolin Chien","Taoyuan City. Taiwan","1986-04-04"
"Jolly Stanesby","",""
"Jon Applebaum","","1985-02-13"
"Jon Guerra","",""
"Jon Koznick","http://dbpedia.org/resource/Colombia","1972-07-04"
"Jonathan McReynolds","http://dbpedia.org/resource/Chicago",""
"Jordan Brandman","",""
"Jordan Feliz","",""
"Jordan McIntosh","",""
"Jordan Mickey","http://dbpedia.org/resource/Dallas","1994-07-09"
"Jordi Forniés","http://dbpedia.org/resource/Barcelona","1971-11-14"
"Jorge Anegon","http://dbpedia.org/resource/Asturias","1983-02-04"
"Joris Teepe","",""
"Joseph Adebayo Adelakun","http://dbpedia.org/resource/Oyo_State","1949-06-12"
"Joseph Fuisz","",""
