"COUNTRY","TELECOM CARRIER/COUNTRY","ACCESS CODE","TOLLFREE NUMBER","LANGUAGE"
"Australia","Australia - Telstra","1-800-881-011","866-614-5869","English"
"Australia","Optus","1-800-551-155","866-614-5869","English"
"Austria","Austria","0-800-200-288","866-614-5869","German"
"Belgium","Belgium","0-800-100-10","866-614-5869","Dutch"
"Denmark","Denmark","800-100-10","866-614-5869","Danish"
"Finland","Finland","0-800-11-0015","866-614-5869","Finnish"
"France","France Telecom","0-800-99-0011","866-614-5869","French"
"France","Telecom Development","0805-701-288","866-614-5869","French"
"Germany","Germany","0-800-225-5288","866-614-5869","German"
"Hong Kong","Hong Kong - Hong Kong Telephone","800-96-1111","866-614-5869","Cantonese"
"Hong Kong","New World Telephone","800-93-2266","866-614-5869","Cantonese"
"Ireland","Ireland","1-800-550-000","866-614-5869","English"
"Italy","Italy","800-172-444","866-614-5869","Italian"
"Mexico","Mexico - New","01-800 288-2872","866-614-5869","Spanish"
"Mexico","Por Cobrar","01-800-112-2020","866-614-5869","Spanish"
"Netherlands","Netherlands","0800-022-9111","866-614-5869","Dutch"
"Norway","Norway","800-190-11","866-614-5869","Norwegian"
"South Africa","South Africa","0-800-99-0123","866-614-5869","English"
"Spain","Spain","900-99-0011","866-614-5869","Spanish"
"Sweden","Sweden","020.799-111","866-614-5869","Swedish"
"Switzerland","Switzerland","0-800-890011","866-614-5869","French"
"United Kingdom","United Kingdom - British Telecom","0-800-89-0011","866-614-5869","English"
"United Kingdom","C&amp;W","0-500-89-0011","866-614-5869","English"
