" ","NULL","NULL","NULL","NULL"," "
" ","sites","indice performance","chargement page accueil (sec)","taux réussite (en %)"," "
" ","1. easyrencontre","981","18","100"," "
" ","2. e-valentin","933","2","9987"," "
" ","3. meetic","929","23","100"," "
" ","4. be2","908","21","9966"," "
" ","5. serencontrer","898","26","100"," "
" ","6. parship","876","24","9963"," "
" ","7. unerencontre","84","29","9987"," "
" ","8. frenchfriendfinder","807","28","9936"," "
" ","9. netclub","784","38","100"," "
" ","10. amoureux","704","47","9972"," "
" ","11. match","699","48","9980"," "
