"Link from a Wikipage to an external page","label","Wikipage revision ID","Wikipage page ID"
"http://eclipse.gsfc.nasa.gov/SEplot/SEplot2001/SE2015Sep13P.GIF","كسوف الشمس 13 سبتمبر 2015","680904957","25163979"
"","1968年3月28日日食","659435483","25355501"
"","2100年3月10日日食","659435308","25522847"
"","2076年6月1日日食","655090986","25510771"
"http://eclipse.gsfc.nasa.gov/SEplot/SEplot2001/SE2048Jun11A.GIF","Sonnenfinsternis vom 11. Juni 2048","673607000","25209074"
"","1961年8月11日日食","659433397","25355675"
"","1935年12月25日日食","659433561","25529479"
"http://www.eclipse-2008.ru/eclipse/1966.php","1966年5月20日日食","659435807","25330670"
"","2085年12月16日日食","659433457","25497425"
"http://eclipse.gsfc.nasa.gov/SEplot/SEplot1951/SE1993May21P.GIF","Sonnenfinsternis vom 21. Mai 1993","659435842","25216825"
"","1983年12月4日日食","659433633","25207990"
"http://eclipse.gsfc.nasa.gov/SEplot/SEplot2051/SE2055Jan27P.GIF","2055年1月27日日食","659434290","25465581"
"http://eclipse.gsfc.nasa.gov/SEplot/SEplot2051/SE2073Feb07P.GIF","2073年2月7日日食","655090275","25510400"
"","1941年3月27日日食","659435447","25581881"
"http://hermit.org/eclipse/2016-03-09/","كسوف الشمس 9 مارس 2016","683848770","22354952"
"http://eclipse-maps.com/Eclipse-Maps/Gallery/Pages/Annular-total_solar_eclipse_of_2013_November_3.html","كسوف الشمس 3 نوفمبر 2013","659254364","25163903"
"","1902年10月31日日食","655092489","25579584"
"","2047年1月26日日食","659434281","25356212"
"http://eclipse.gsfc.nasa.gov/SEplot/SEplot2051/SE2063Feb28A.GIF","2063年2月28日日食","659433893","25465801"
"","1971年7月22日日食","655088013","25355411"
