"ann&eacute;es","vainqueurs","2&egrave;me places","3&egrave;me places","4&egrave;me places"
"1972","pedro morales","NULL","NULL","NULL"
"1973","jack brisco","","",""
"1974","bruno sammartino","NULL","NULL","NULL"
"1975","mr. wrestling ii","","",""
"1976","terry funk","bruno sammartino","nick bockwinkle","paul jones"
"1977","dusty rhodes","superstar graham","bob backlund","harley race"
"1978","dusty rhodes","bob backlund","rick steamboat","harley race"
"1979","","dusty rhodes","jimmy snuka","bob backlund"
"1980","bob backlund","harley race","verne gagne","the iron shiek"
"1981","ric flair","bob backlund","tommy rich","dusty rhodes"
"1982","bob backlund","ric flair","hulk hogan","jimmy snuka"
"1983","harley race","nick bockwinkle","andr&eacute; the giant","bob backlund"
"1984","ric flair","hulk hogan","kerry von erich","rick martel"
"1985","ric flair","hulk hogan","rick martel","sgt. slaugter"
"1986","ric flair","hulk hogan","randy savage","nikita koloff"
"1987","hulk hogan","ric flair","randy savage","steve williams"
"1988","randy savage","jerry lawler","lex luger","ric flair"
"1989","ric flair","hulk hogan","lex luger","rick steamboat"
"1990","sting","ultimate warrior","hulk hogan","lex luger"
"1991","hulk hogan","lex luger","bret hart","sting"
"1992","ric flair","ron simmons","rick rude","bret hart"
"1993","big van vader","bret hart","shawn michaels","yokozuna"
"1994","hulk hogan","bret hart","razor ramon","ric flair"
"1995","diesel","shawn michaels","sting","hulk hogan"
"1996","the giant","shawn michaels","ric flair","ahmed johnson"
"1997","lex luger","steve austin","the undertaker","diamond dallas page"
"1998","steve austin","bill goldberg","diamond dallas page","the rock"
"1999","steve austin","the rock","sting","taz"
"2000","the rock","triple h","booker t.","kurt angle"
"2001","steve austin","kurt angle","the rock",""
"2002","brock lesnar","rob van dam","triple h","the undertaker"
"2003","kurt angle","brock lesnar","triple h","aj. styles"
"2004","chris benoit","randy orton","eddie guerrero","aj. styles"
"2005","batista","john cena","aj. styles","samoa joe"
"2006","john cena","samoa joe","rey misterio jr","edge"
"2007","john cena","kurt angle","batista","randy orton"
"2008","triple h","kurt angle","randy orton","samoa joe"
"2009","","","",""
"2010","NULL","NULL","NULL","NULL"
