"animal","title","class","phylum"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"african    grey parrot","if    you were a parrot","bird","chordata-vertebrata"
"alligator","abc safari","reptile","chordata-vertebrata"
"american    oyster catcher","turtle summer","bird","chordata-vertebrata"
"antelopes","twas the day before zoo day","mammal-land","chordata-vertebrata"
"asian short-clawed otter","river beds","",""
"bald eagle","whistling wings","",""
"bandicoot","kersplatypus","mammal-land","chordata-vertebrata"
"bat","rainforest grew all around the ","mammal-land","chordata-vertebrata"
"beaver","abc safari","mammal-land","chordata-vertebrata"
"beaver","river beds","",""
"beluga    whale","in arctic waters","mammal-marine","chordata-vertebrata"
"beluga    whale","water beds: sleeping in the ocean","mammal-marine","chordata-vertebrata"
"birds","animals are sleeping","bird","chordata-vertebrata"
"black bear ","blackberry banquet","",""
"black bears","twas the day before zoo day","mammal-land","chordata-vertebrata"
"black    skimmers","turtle summer","bird","chordata-vertebrata"
"blue    and gold macaw","if    you were a parrot","bird","chordata-vertebrata"
"blue    crab","day in the salt marsh a ","crustacean","arthropod"
"blue    whale","happy birthday to whooo?","mammal-marine","chordata-vertebrata"
"bluebird","blackberry banquet","",""
"blue-tongued skink ","kersplatypus","mammal-land","chordata-vertebrata"
"bobcat","burro's tortillas","mammal-land","chordata-vertebrata"
"boto dolphin","river beds","",""
"bottlenose    dolphin","day in the salt marsh a ","mammal-marine","chordata-vertebrata"
"bottlenose    dolphin","if a dolphin were a fish","mammal-marine","chordata-vertebrata"
"brewer&rsquo;s blackbird","the best nest","bird","chordata-vertebrata"
"brushtail possum ","kersplatypus","mammal-land","chordata-vertebrata"
"burro","burro's tortillas","mammal-land","chordata-vertebrata"
"camel","happy birthday to whooo?","mammal-land","chordata-vertebrata"
"capybara","river beds","",""
"cardinal","christmas eve blizzard","bird","chordata-vertebrata"
"cat","saturn for my birthday","",""
"cheetah","abc safari","mammal-land","chordata-vertebrata"
"chick","animals are sleeping","bird","chordata-vertebrata"
"clam","turtle summer","bi-valve","mollusk"
"clown    fish","octavia and her purple ink cloud","fish-bony","chordata-vertebrata"
"clownfish","animals are sleeping","fish-bony","chordata-vertebrata"
"common grackle","the best nest","bird","chordata-vertebrata"
"cormorant","ocean seasons","bird","chordata-vertebrata"
"cottontail    rabbit","little skink's tail ","mammal-land","chordata-vertebrata"
"coyote","burro's tortillas","mammal-land","chordata-vertebrata"
"crab","ocean seasons","crustacean","arthropod"
"crocodile","giraffe who was afraid of heights","reptile","chordata-vertebrata"
"crow","little skink's tail ","bird","chordata-vertebrata"
"deer","in my backyard","mammal-land","chordata-vertebrata"
"deer","pieces    of another world","mammal-land","chordata-vertebrata"
"deer","blackberry banquet","",""
"diamondback    terrapin","day in the salt marsh a ","reptile","chordata-vertebrata"
"dog","one odd day","mammal-land","chordata-vertebrata"
"dog","saturn for my birthday","",""
"dog -    springer spaniel","loon chase","mammal-land","chordata-vertebrata"
"dolphin","abc safari","mammal-marine","chordata-vertebrata"
