"label","Wikipage revision ID","Link from a Wikipage to an external page","Wikipage page ID"
"It Shoulda Been You","680346258","http://www.itshouldabeenyou.com/","46968524"
"Rockville 2069: A Rock Musical","683061017","http://www.rockville2069.com","46489612"
"Something Rotten!","683728436","","46725483"
"The Confession Room (musical)","674435631","http://www.confessionroom.co.uk","47387815"
"Clinton: The Musical","","",""
"Love Birds (musical)","","",""
"The Imbible","660181183","http://imbible.org/","45377369"
"The Trail to Oregon!","681461415","http://www.teamstarkid.com/","45406125"
"Artus – Excalibur","681936352","","47416483"
"Ladies in Black","671825737","http://www.queenslandtheatre.com.au/Whats-On/Mainstage-Season-2015/Ladies-in-Black","47260029"
"The Sunshine Club","671954944","http://www.austlit.edu.au/austlit/page/C826428","47201211"
"A dzsungel könyve","681757694","http://vigszinhaz.hu/szindarab/18+a+dzsungel+könyve/","47839961"
"Akhenaten (musical)","683557968","http://facebook.com/akhenatenthemusical","47366786"
"Naked Boys Singing! (musical)","","","47675404"
"Preludes (musical)","677371235","","47564361"
"When We Are Married (musical)","673113578","https://www.ausstage.edu.au/pages/event/26856","47341412"
"1600 Pennsylvania Avenue (musical)","656637577","","738198"
"A Night with Janis Joplin","681935762","http://www.playbill.com/news/article/the-verdict-critics-review-broadways-a-night-with-janis-joplin-starring-mar-210485","47446592"
"Bad Girls: The Musical","680353887","http://www.badgirlsthemusical.com/","8727986"
"Belles belles belles (comédie musicale)","645921441","","44649240"
