"Wikipage revision ID","label","Wikipage page ID"
"616878695","Advance (horse)","30102129"
"","Airborne (horse)",""
"","アニマルキングダム",""
"","アサシン (競走馬)",""
"","アトラクション (競走馬)",""
"","Belmar (horse)",""
"","Blenheim (horse)",""
"","Brew (horse)",""
"","ケープブランコ",""
"","Cavan (horse)",""
"571260331","Chandler (horse)","22801622"
"","Common (horse)",""
"","Cremorne (horse)",""
"","ディーダラス",""
"","Danzig (horse)",""
"","Discovery (horse)",""
"","Display (horse)",""
"","El Segundo (horse)",""
"","Eliza (horse)",""
"","Fair Play (horse)",""
