"Industry/Business Type","Annual Revenue","Tax Credit / Cash Refund"
"&nbsp;","($million)","($thousand)"
"&nbsp;","&nbsp;","&nbsp;"
"Metal / Plastic Manufacturing","Metal / Plastic Manufacturing","Metal / Plastic Manufacturing"
"Aircraft and radar parts","$80","$850"
"Industrial brushes","16","170"
"Power generating systems","50","1475"
"Automotive parts","80","525"
"Fabricated metal parts","18","190"
"&nbsp;","&nbsp;","&nbsp;"
"Chemical/Food           Manufacturing","Chemical/Food           Manufacturing","Chemical/Food           Manufacturing"
"Chemical/paint formulation","38","860"
"Ethnic food products","50","475"
"Composite/adhesive materials","35","740"
"Frozen food products","30","375"
"Coatings","75","710"
"&nbsp;","&nbsp;","&nbsp;"
"Other Manufacturing","Other Manufacturing","Other Manufacturing"
"Point-of-purchase/store displays","20","309"
"Printed circuit boards","450","1450"
"Water flow systems","20","190"
"Corrugated products","40","335"
"Medical devices","20","220"
"&nbsp;","&nbsp;","&nbsp;"
"Distribution","Distribution","Distribution"
"Wholesaler","200","560"
"Electronics distributor","70","210"
"Software Developer","20","520"
