"label","Geburtsdatum"
"Lenny Curry","1970-07-19"
"Les Eaves",""
"Lewis C. Cassidy",""
"Louise Haigh","1987-07-22"
"Mantri Prasad Naithani","1958-07-20"
"Martina White",""
"Mauricio Vila Dosal","1980-10-30"
"Melina Bath","1966-12-18"
"Mike Johnson (Louisiana politician)","1972"
"Mikhail Men",""
"城間幹子","1951-01-20"
"N. S. Nandiesha Reddy","1971-07-06"
"Nekima Levy-Pounds",""
"Nick Thomas-Symonds","1980-05-26"
"Nicole Galloway",""
"Notis Mitarachi","1972-10-07"
"Onofiok Luke","1978-03-16"
"Parimal Nathwani","1956-02-01"
"Patrick McKee",""
"Paul J. Fitzgerald",""
