"COUNTRY BANK CITY","CURRENCY","SWIFT/BIC","ACCOUNT"
"RUSSIAN FEDERATION:","RUSSIAN FEDERATION:","RUSSIAN FEDERATION:","RUSSIAN FEDERATION:"
"{SBERBANK Moscow|ACC 30101810400000000225|BIC 044525225|INN 7707083893}","RUB","SABRRUMM","30111810800000000659"
"{OJSC PROMSVYAZBANK Moscow|ACC 30101810400000000555|BIC 044525555|INN 7744000912}","RUB","PRMSRUMM","30111810000000775201"
"{SVIAZ-BANK Moscow|ACC 30101810900000000848|BIC 044525848}","RUB","SVIZRUMM","30111810120000000048"
"{JSC VTB BANK Moscow|ACC 30101810700000000187|BIC 044525187|INN 7702070139}","RUB","VTBRRUMM","30111810455550000151"
"UKRAINE:","UKRAINE:","UKRAINE:","UKRAINE:"
"PJSC CB ?PRIVATBANK? DnipropetrovskACC 32009100400 MFO 305299EGRPOU 14360570","UAH","PBANUA2X","16005000136001"
"KAZAKHSTAN:","KAZAKHSTAN:","KAZAKHSTAN:","KAZAKHSTAN:"
"KAZKOMMERTSBANK Almaty","KZT","KZKOKZKX","KZ599260001000313000"
"LATVIA:","LATVIA:","LATVIA:","LATVIA:"
"{|RIETUMU BANKA Riga}","LVL","RTMBLV2X","LV18RTMB0000000164077"
