"event","event","venue","venue name","date","event date","&nbsp;"
"ani difranco","ani difranco","showcase live at patriots place","showcase live at patriots placefoxborough ma","06/14/2012 8:00 pm","{jun 14 2012|thu 8:00 pm}","view tickets"
"ani difranco","ani difranco","bowery ballroom","bowery ballroomnew york ny","06/19/2012 7:00 pm","{jun 19 2012|tue 7:00 pm}","view tickets"
"ani difranco","ani difranco","mountain winery","mountain winerysaratoga ca","07/12/2012 7:30 pm","{jul 12 2012|thu 7:30 pm}","view tickets"
"ani difranco","ani difranco","pabst theater","pabst theatermilwaukee wi","09/22/2012 7:00 pm","{sep 22 2012|sat 7:00 pm}","view tickets"
"ani difranco","ani difranco","first avenue","first avenueminneapolis mn","09/23/2012 8:00 pm","{sep 23 2012|sun 8:00 pm}","view tickets"
"ani difranco","ani difranco","vic theatre","vic theatrechicago il","09/25/2012 7:30 pm","{sep 25 2012|tue 7:30 pm}","view tickets"
"ani difranco","ani difranco","madison theater - covington","madison theater - covingtoncovington ky","09/28/2012 9:00 pm","{sep 28 2012|fri 9:00 pm}","view tickets"
"ani difranco","ani difranco","9:30 club","9:30 clubwashington dc","11/10/2012 8:00 pm","{nov 10 2012|sat 8:00 pm}","view tickets"
"ani difranco","ani difranco","keswick theatre","keswick theatreglenside pa","11/11/2012 7:30 pm","{nov 11 2012|sun 7:30 pm}","view tickets"
"ani difranco","ani difranco","tarrytown music hall","tarrytown music halltarrytown ny","11/14/2012 8:00 pm","{nov 14 2012|wed 8:00 pm}","view tickets"
"ani difranco","ani difranco","music hall of williamsburg","music hall of williamsburgbrooklyn ny","11/16/2012 7:00 pm","{nov 16 2012|fri 7:00 pm}","view tickets"
"ani difranco","ani difranco","town hall theatre - ny","town hall theatre - nynew york ny","11/17/2012 8:00 pm","{nov 17 2012|sat 8:00 pm}","view tickets"
