"Wikipage revision ID","label","Wikipage page ID"
"657008980","Middle thyroid vein","4480052"
"657011031","Oblique vein of the left atrium","4770884"
"666119593","Occipital vein","4604852"
"","Pharyngeal veins",""
"","Posterior external jugular vein",""
"666119937","Posterior vein of the left ventricle","4770993"
"","Small cardiac vein",""
"679764310","Hepatic portal vein","235642"
"","Hypophyseal portal system",""
"679973214","Cavernous sinus","3182604"
"","Inferior cerebral veins",""
"","Emissary veins",""
"663854293","Subclavian vein","2178803"
"","Ophthalmic veins",""
"678958464","Great saphenous vein","239687"
"663848786","Popliteal vein","1982116"
"665454078","Pulmonary vein","601365"
"","Venas diafragmáticas",""
"","وريد مستقيمي علوي",""
"665464519","Common facial vein","4479417"
