"Rank","Country","GNP per capita ($)","Mass Language(s)","Official Language(s)"
"1","Congo (DRC)","100","Lingala Kingwana","French"
"2","Ethiopia","100","Amharic","Amharic"
"3","Burundi","120","Kirundi Swahili","French Kirundi"
"4","Sierra Leone","130","Mende Temne Krio","English"
"5","Malawi","180","Chichewa","English/Chichewa"
"6","Niger","190","Hausa Djerma","French"
"7","Chad","210","Sara Arabic","French/Arabic"
"8","Mozambique","220","Emakhuwa Xichangana","Portugese"
"9","Nepal","220","Nepali","Nepali"
"10","Mali","240","Bambara","French"
"11","Burkina Faso","240","Sudanic languages","French"
"12","Rwanda","250","Kinyarwanda","Kinyarwanda/French/English"
"13","Madagascar","250","Malagasy","French/Malagasy"
"14","Cambodia","260","Khmer","Khmer/French"
"15","Tanzania","260","Swahili","English/Swahili"
"16","Nigeria","260","Hausa Yoruba Igbo","English"
"17","Angola","270","Bantu","Portugese"
"18","Laos","290","Lao","Lao/French/English"
"19","Togo","310","Ewe Mina Kabiye Dagomba","French"
"20","Uganda","320","Ganda Luganda","English"
"*Population greater than 5 million only2 Raw Data Source: Encarta Encyclopedia World Factbook","*Population greater than 5 million only2 Raw Data Source: Encarta Encyclopedia World Factbook","*Population greater than 5 million only2 Raw Data Source: Encarta Encyclopedia World Factbook","*Population greater than 5 million only2 Raw Data Source: Encarta Encyclopedia World Factbook","*Population greater than 5 million only2 Raw Data Source: Encarta Encyclopedia World Factbook"
