"country","voucher type","currency","exam price"
"australia","vouchers 211z","usd","255.00"
"bangladesh","vouchers  112e","bdt","11600.00"
"belgium","vouchers  211u","usd","250.00"
"brazil","vouchers 211q","usd","200.00"
"bulgaria","vouchers 211t","usd","240.00"
"canada","vouchers 211r","usd","220.00"
"chile","vouchers 211q","usd","200.00"
"china","vouchers 112v","usd","255.00"
"colombia","vouchers 211p","usd","190.00"
"france","vouchers 211t","usd","240.00"
"germany","vouchers 211t","usd","240.00"
"ghana","vouchers  811w","usd","210.00"
"greece","vouchers  211u","usd","250.00"
"hong kong","vouchers 211q","usd","200.00"
"india","vouchers  211d","inr","8000.00"
"indonesia","vouchers 211p","usd","190.00"
"iran","vouchers 211s","usd","230.00"
"iraq","vouchers  211u","usd","250.00"
"israel","vouchers 211n","usd","180.00"
"italy","vouchers 211t","usd","240.00"
"japan","vouchers 211j","usd","220.00*"
"kenya","vouchers 211n","usd","180.00"
"kuwait","vouchers 211t","usd","240.00"
"malaysia","vouchers 211n","usd","180.00"
"mexico","vouchers 211m","usd","170.00"
"nepal","vouchers 211m","usd","170.00"
"netherlands","vouchers  211u","usd","250.00"
"new zealand","vouchers  211u","usd","250.00"
"nigeria","vouchers  112h","ngn","33000.00"
"oman","vouchers 211s","usd","230.00"
"pakistan","vouchers  112g","pkr","14800.00"
"philippines","vouchers 211q","usd","200.00"
"poland","vouchers 211r","usd","220.00"
"russian federation","vouchers  211u","usd","250.00"
"saudi arabia","vouchers 211r","usd","220.00"
"singapore","vouchers 211s","usd","230.00"
"south africa","vouchers  211u","usd","250.00"
"south korea","vouchers  112k","krw","210000.00"
"spain","vouchers 211t","usd","240.00"
"sri lanka","vouchers 211l","usd","160.00"
"taiwan","vouchers 211m","usd","170.00"
"thailand","vouchers 211q","usd","200.00"
"turkey","vouchers 112b","try","355.00"
"united arab emirates","vouchers 211c","aed","935.00"
"united kingdom","vouchers 112a","gbp","140.00"
"united states","vouchers 211p","usd","190.00"
"venezuela","vouchers 211p","usd","190.00"
"vietnam","vouchers 211m","usd","170.00"
