"Country/Area","Language","Singular","Plural","Number","Notes"
"Canada","English and French","Eng.: county/Fr.: comt?","Eng.: counties/Fr.: comt?s","NULL","NULL"
"China","Chinese","? or ? (Hanyu Pinyin: xi?n)","same as singular","NULL","NULL"
"Croatia","Croatian","?upanija","?upanije","20","NULL"
"Czech Republic","Czech","kraj","kraje","14","NULL"
"Denmark","Danish","amt","amter","13 (at time of abolition)","established&nbsp;1662 abolished&nbsp;2006"
"Estonia","Estonian","maakond","maakonnad","15","NULL"
"Finland","Finnish and Swedish","Fin.: l??ni/Sw.: l?n","Fin.: l??nit/Sw.: l?n","6","NULL"
"Germany","German","Kreis/Landkreis","Kreise/Landkreise","323","NULL"
"Hungary","Hungarian","megye","megy?k","19/22/1","for numbers: see main article"
"Indonesia","Indonesian","kecamatan","kecamatan-kecamatan","NULL","NULL"
"Iran","Persian","shahrest?n (???????)","shahrest?nh? (?????????)","?","NULL"
"Ireland","Irish and English","Ir.: contae/Eng.: county","Ir.: contaethe/Eng.: counties","32*","NULL"
"Japan","Japanese","? (gun)","same as singular","NULL","NULL"
"Korea South","Korean","? (gun ?)","same as singular","86[2]","NULL"
"Latvia","Latvian","rajons","rajoni","26","NULL"
"Liberia","English","county","counties","15","NULL"
"Lithuania","Lithuanian","apskritis","apskritys","10","NULL"
"Moldova","Romanian","jude?","jude?e","9","abolished 2003"
"Netherlands","Dutch","graafschap","graafschappen","NULL","only historic"
"Norway","Norwegian","fylke","fylke/fylker","19","NULL"
"Poland","Polish","powiat","powiaty","314 (+ 65 city counties)","NULL"
"Pakistan","Urdu Sindhi and English","Dhila'ah/District","Dhila'ay/Dhila'o/Districts","120","NULL"
"Romania","Romanian","jude?","jude?e","41+1","NULL"
"Russia","Russian","rayon (?????) or okrug (?????)","rayony (??????) or okruga (??????)","&gt;1000","NULL"
"Serbia and Montenegro","Serbian","okrug (?????)","okruzi (??????)","29+1/21","NULL"
"Sweden","Swedish","l?n","l?n","21","NULL"
"United Kingdom","English and Welsh","Eng.: county shire/W.: sir","Eng.: counties shires/W.: siroedd","NULL","NULL"
"United States","English","county/parish(LA)/borough(AK)","counties/parishes/boroughs","3141","NULL"
