"1","","Radiohead ? Karma Police","","","252"
"2","","Radiohead ? High And Dry","","","243"
"3","","Sublime ? Santeria","","","234"
"4","","Radiohead ? Subterranean Homesick Alien","","","215"
"5","","Radiohead ? No Surprises","","","206"
"6","","Radiohead ? Lucky","","","196"
"7","","Radiohead ? Airbag","","","194"
"8","","311 ? Amber","","","192"
"9","","Radiohead ? The Tourist","","","191"
"10","","Radiohead ? Street Spirit (Fade Out)","","","175"
"11","","Radiohead ? Fake Plastic Trees","","","171"
"12","","Pepper ? Your Face","","","167"
"13","","Pepper ? Tradewinds","","","166"
"14","","Goo Goo Dolls ? Slide","","","165"
"15","","Radiohead ? Let Down","","","164"
