"bird species","great basin shrubsteppe","sonoran desert scrub","chihuahuan desert scrub","mojave desert scrub","desert riparian deciduous woodlands marshes","annual grasslands farms","river riparian woodlands subalpine marshes","mountain and alpine meadows","relict conifer forests madrean evergreen woodlands"
"pied-billed grebe","&nbsp;","&nbsp;","&nbsp;","&nbsp;","x","&nbsp;","x","&nbsp;","&nbsp;"
"horned grebe","&nbsp;","&nbsp;","&nbsp;","&nbsp;","x","&nbsp;","x","&nbsp;","&nbsp;"
"eared grebe","&nbsp;","&nbsp;","&nbsp;","&nbsp;","x","&nbsp;","x","&nbsp;","&nbsp;"
"western grebe","&nbsp;","&nbsp;","&nbsp;","&nbsp;","x","&nbsp;","x","&nbsp;","&nbsp;"
"double-crested cormorant","&nbsp;","&nbsp;","&nbsp;","&nbsp;","x","&nbsp;","x","&nbsp;","&nbsp;"
"american bittern","&nbsp;","&nbsp;","&nbsp;","&nbsp;","x","&nbsp;","x","&nbsp;","&nbsp;"
"least bittern","&nbsp;","&nbsp;","&nbsp;","&nbsp;","x","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"great blue heron","&nbsp;","&nbsp;","&nbsp;","&nbsp;","x","x","x","x","&nbsp;"
"great egret","&nbsp;","&nbsp;","&nbsp;","&nbsp;","x","&nbsp;","x","&nbsp;","&nbsp;"
"snowy egret","&nbsp;","&nbsp;","&nbsp;","&nbsp;","x","&nbsp;","x","&nbsp;","&nbsp;"
"cattle egret","&nbsp;","&nbsp;","&nbsp;","&nbsp;","x","x","&nbsp;","&nbsp;","&nbsp;"
"green-backed heron","&nbsp;","&nbsp;","&nbsp;","&nbsp;","x","&nbsp;","x","&nbsp;","&nbsp;"
"black-crowned night-heron","&nbsp;","&nbsp;","&nbsp;","&nbsp;","x","&nbsp;","x","x","&nbsp;"
"white-faced ibis","&nbsp;","&nbsp;","&nbsp;","&nbsp;","x","x","x","&nbsp;","&nbsp;"
"black-bellied whistling-duck","&nbsp;","&nbsp;","&nbsp;","&nbsp;","x","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"tundra swan","&nbsp;","&nbsp;","&nbsp;","&nbsp;","x","x","x","x","&nbsp;"
"trumpeter swan","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","x","x","&nbsp;"
"bird species","great basin shrubsteppe","sonoran desert scrub","chihuahuan desert scrub","mojave desert scrub","desert riparian deciduous woodlands marshes","annual grasslands farms","river riparian woodlands subalpine marshes","mountain and alpine meadows","relict conifer forests madrean evergreen woodlands"
"greater white-fronted goose","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","x","x","&nbsp;","&nbsp;"
"snow goose","&nbsp;","&nbsp;","&nbsp;","&nbsp;","x","x","x","&nbsp;","&nbsp;"
"ross' goose","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","x","x","&nbsp;","&nbsp;"
"canada goose","&nbsp;","&nbsp;","&nbsp;","&nbsp;","x","x","x","x","&nbsp;"
"wood duck","&nbsp;","&nbsp;","&nbsp;","&nbsp;","x","&nbsp;","x","&nbsp;","&nbsp;"
"green-winged teal","&nbsp;","&nbsp;","&nbsp;","&nbsp;","x","x","x","x","&nbsp;"
"mallard","&nbsp;","&nbsp;","&nbsp;","&nbsp;","x","x","x","x","&nbsp;"
"northern pintail","&nbsp;","&nbsp;","&nbsp;","&nbsp;","x","x","x","x","&nbsp;"
"blue-winged teal","&nbsp;","&nbsp;","&nbsp;","&nbsp;","x","x","x","x","&nbsp;"
"cinnamon teal","&nbsp;","&nbsp;","&nbsp;","&nbsp;","x","x","x","x","&nbsp;"
"northern shoveler","&nbsp;","&nbsp;","&nbsp;","&nbsp;","x","x","x","x","&nbsp;"
"gadwall","&nbsp;","&nbsp;","&nbsp;","&nbsp;","x","x","x","x","&nbsp;"
"american wigeon","&nbsp;","&nbsp;","&nbsp;","&nbsp;","x","x","x","x","&nbsp;"
"canvasback","&nbsp;","&nbsp;","&nbsp;","&nbsp;","x","&nbsp;","x","&nbsp;","&nbsp;"
"redhead","&nbsp;","&nbsp;","&nbsp;","&nbsp;","x","&nbsp;","x","&nbsp;","&nbsp;"
"ring-necked duck","&nbsp;","&nbsp;","&nbsp;","&nbsp;","x","&nbsp;","x","&nbsp;","&nbsp;"
"greater scaup","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","x","&nbsp;","&nbsp;"
"lesser scaup","&nbsp;","&nbsp;","&nbsp;","&nbsp;","x","x","x","&nbsp;","&nbsp;"
"harlequin duck","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","x","&nbsp;","&nbsp;"
"bird species","great basin shrubsteppe","sonoran desert scrub","chihuahuan desert scrub","mojave desert scrub","desert riparian deciduous woodlands marshes","annual grasslands farms","river riparian woodlands subalpine marshes","mountain and alpine meadows","relict conifer forests madrean evergreen woodlands"
"common goldeneye","&nbsp;","&nbsp;","&nbsp;","&nbsp;","x","&nbsp;","x","&nbsp;","&nbsp;"
"barrow's goldeneye","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","x","&nbsp;","&nbsp;"
"bufflehead","&nbsp;","&nbsp;","&nbsp;","&nbsp;","x","&nbsp;","x","&nbsp;","&nbsp;"
"hooded merganser","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","x","&nbsp;","&nbsp;"
"common merganser","&nbsp;","&nbsp;","&nbsp;","&nbsp;","x","&nbsp;","x","x","&nbsp;"
"red-breasted merganser","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","x","&nbsp;","&nbsp;"
"ruddy duck","&nbsp;","&nbsp;","&nbsp;","&nbsp;","x","&nbsp;","x","x","&nbsp;"
"black vulture","&nbsp;","x","x","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"turkey vulture","x","x","x","x","x","x","x","x","&nbsp;"
"california condor","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","x","&nbsp;","x","&nbsp;"
"osprey","&nbsp;","&nbsp;","&nbsp;","&nbsp;","x","&nbsp;","x","&nbsp;","&nbsp;"
"black-shouldered kite","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","x","x","x","&nbsp;"
"bald eagle","x","&nbsp;","&nbsp;","&nbsp;","x","x","x","x","&nbsp;"
"northern harrier","x","&nbsp;","&nbsp;","&nbsp;","x","x","x","x","&nbsp;"
"sharp-shinned hawk","x","x","&nbsp;","&nbsp;","x","&nbsp;","x","x","&nbsp;"
"cooper's hawk","x","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","x","x","x"
"northern goshawk","x","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","x","x","&nbsp;"
"common black-hawk","&nbsp;","&nbsp;","&nbsp;","&nbsp;","x","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"bird species","great basin shrubsteppe","sonoran desert scrub","chihuahuan desert scrub","mojave desert scrub","desert riparian deciduous woodlands marshes","annual grasslands farms","river riparian woodlands subalpine marshes","mountain and alpine meadows","relict conifer forests madrean evergreen woodlands"
"harris' hawk","&nbsp;","x","x","&nbsp;","x","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"gray hawk","&nbsp;","&nbsp;","&nbsp;","&nbsp;","x","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"red-shouldered hawk","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","x","x","&nbsp;","&nbsp;"
"swainson's hawk","x","x","x","x","&nbsp;","x","x","x","&nbsp;"
"zone-tailed hawk","&nbsp;","&nbsp;","&nbsp;","&nbsp;","x","&nbsp;","x","&nbsp;","&nbsp;"
"red-tailed hawk","x","x","x","x","x","x","x","x","&nbsp;"
"ferruginous hawk","x","x","x","x","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"rough-legged hawk","x","x","x","x","&nbsp;","x","&nbsp;","x","&nbsp;"
"golden eagle","x","x","x","x","x","x","x","x","&nbsp;"
"american kestrel","x","x","x","x","x","x","x","x","x"
"merlin","x","x","x","x","x","x","x","&nbsp;","&nbsp;"
"peregrine falcon","x","x","x","x","x","x","x","&nbsp;","x"
"prairie falcon","x","x","x","x","x","x","x","x","&nbsp;"
"gray partridge","x","&nbsp;","&nbsp;","&nbsp;","&nbsp;","x","&nbsp;","&nbsp;","&nbsp;"
"chukar","x","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"ring-necked pheasant","x","&nbsp;","&nbsp;","&nbsp;","&nbsp;","x","x","&nbsp;","&nbsp;"
"blue grouse","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","x","x","&nbsp;"
"white-tailed ptarmigan","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","x","&nbsp;"
"bird species","great basin shrubsteppe","sonoran desert scrub","chihuahuan desert scrub","mojave desert scrub","desert riparian deciduous woodlands marshes","annual grasslands farms","river riparian woodlands subalpine marshes","mountain and alpine meadows","relict conifer forests madrean evergreen woodlands"
"ruffed grouse","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","x","&nbsp;","&nbsp;"
"sage grouse","x","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","x","x","&nbsp;"
"sharp-tailed grouse","x","&nbsp;","&nbsp;","&nbsp;","&nbsp;","x","&nbsp;","x","&nbsp;"
"wild turkey","x","x","&nbsp;","&nbsp;","x","&nbsp;","x","&nbsp;","x"
"montezuma quail","&nbsp;","x","&nbsp;","&nbsp;","x","&nbsp;","&nbsp;","&nbsp;","x"
"northern bobwhite","&nbsp;","x","&nbsp;","&nbsp;","&nbsp;","x","x","&nbsp;","&nbsp;"
"scaled quail","&nbsp;","x","x","&nbsp;","&nbsp;","x","&nbsp;","&nbsp;","&nbsp;"
"gambel's quail","x","x","x","x","x","&nbsp;","&nbsp;","&nbsp;","x"
"california quail","x","&nbsp;","&nbsp;","&nbsp;","x","x","&nbsp;","&nbsp;","&nbsp;"
"mountain quail","x","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","x","x","&nbsp;"
"clapper rail","&nbsp;","&nbsp;","&nbsp;","&nbsp;","x","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"virginia rail","&nbsp;","&nbsp;","&nbsp;","&nbsp;","x","&nbsp;","x","x","&nbsp;"
"sora","&nbsp;","&nbsp;","&nbsp;","&nbsp;","x","&nbsp;","x","x","&nbsp;"
"common moorhen","&nbsp;","&nbsp;","&nbsp;","&nbsp;","x","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"american coot","&nbsp;","&nbsp;","&nbsp;","&nbsp;","x","x","x","x","&nbsp;"
