"label","Wikipage page ID"
"Brit Floyd","47367352"
"British American Investment Company (Mauritius)","46461930"
"British Society for Nanomedicine","47929654"
"Broad Green Pictures",""
"Broadview TV","47834874"
"Brookside Dairy Limited","46646836"
"Brothers in Blood","46703187"
"Brownsboro High School (Texas)","47863665"
"Bruitparif",""
"Brumby Aircraft Australia","46512687"
"Brunei National Service Programme","47896219"
"Brunettes Shoot Blondes","46376609"
"Bsong TV","47759229"
"Buckeye Gymnastics",""
"Buckinghams Retinue","46560016"
"Bucksburn Academy",""
"Budafoki LC","46931488"
"Budapest College of Management","46584681"
"Budapesti EAC",""
"Budapesti VSC (fencing)","47300708"
