"misc","Link from a Wikipage to an external page","ballpark","label","city","Wikipage revision ID","Wikipage page ID","current league"
"1884","http://www.baseball-reference.com/teams/NYP/1884.shtml","http://dbpedia.org/resource/Polo_Grounds","1884 New York Metropolitans season","http://dbpedia.org/resource/New_York_City","679031124","15656684","American Association American Association"
"","http://www.baseball-reference.com/teams/PHA/1884.shtml","http://dbpedia.org/resource/Jefferson_Street_Grounds","1884 Philadelphia Athletics season","http://dbpedia.org/resource/Philadelphia","679031250","15655853","American Association American Association"
"","http://www.baseball-reference.com/teams/SLM/1884.shtml","http://dbpedia.org/resource/Union_Grounds_(St._Louis)","1884 St. Louis Maroons season","http://dbpedia.org/resource/St._Louis","678695583","15659002",""
"","http://www.baseball-reference.com/teams/NYP/1885.shtml","http://dbpedia.org/resource/Polo_Grounds","1885 New York Metropolitans season","http://dbpedia.org/resource/New_York_City","679117518","15656773","American Association American Association"
"","http://www.baseball-reference.com/teams/PHA/1885.shtml","http://dbpedia.org/resource/Jefferson_Street_Grounds","1885 Philadelphia Athletics season","http://dbpedia.org/resource/Philadelphia","679117555","15655886","American Association American Association"
"","http://www.baseball-reference.com/teams/SLM/1885.shtml","http://dbpedia.org/resource/Sportsman's_Park","1885 St. Louis Maroons season","http://dbpedia.org/resource/St._Louis","678530581","15659120","National League"
"","http://www.baseball-reference.com/teams/NYP/1886.shtml","http://dbpedia.org/resource/St._George_Cricket_Grounds","1886 New York Metropolitans season","http://dbpedia.org/resource/New_York_City","679160486","15656841","American Association American Association"
"","http://www.baseball-reference.com/teams/PHA/1886.shtml","http://dbpedia.org/resource/Jefferson_Street_Grounds","1886 Philadelphia Athletics season","http://dbpedia.org/resource/Philadelphia","679160540","15655926","American Association American Association"
"","http://www.baseball-reference.com/teams/SLM/1886.shtml","http://dbpedia.org/resource/Sportsman's_Park","1886 St. Louis Maroons season","http://dbpedia.org/resource/St._Louis","678522757","15659152","National League"
"","http://www.baseball-reference.com/teams/CLE/1887.shtml","http://dbpedia.org/resource/National_League_Park","1887 Cleveland Blues season","http://dbpedia.org/resource/Cleveland","679184866","15702740","American Association American Association"
"","http://www.baseball-reference.com/teams/IND/1887.shtml","http://dbpedia.org/resource/Tinker_Park","1887 Indianapolis Hoosiers season","http://dbpedia.org/resource/Indianapolis","678503530","15687093","National League"
"","http://www.baseball-reference.com/teams/NYP/1887.shtml","http://dbpedia.org/resource/St._George_Cricket_Grounds","1887 New York Metropolitans season","http://dbpedia.org/resource/New_York_City","679184969","15656910","American Association American Association"
"","http://www.baseball-reference.com/teams/PHA/1887.shtml","http://dbpedia.org/resource/Jefferson_Street_Grounds","1887 Philadelphia Athletics season","http://dbpedia.org/resource/Philadelphia","679185033","15655960","American Association American Association"
"","http://www.baseball-reference.com/teams/CLE/1888.shtml","http://dbpedia.org/resource/National_League_Park","1888 Cleveland Blues season","http://dbpedia.org/resource/Cleveland","679192189","15702846","American Association American Association"
