"NULL","Temperature","Temperature","Temperature","Precipitation"
"Months","Normal","Warmest","Coldest","Normal"
"January","3.7?C","7.7?C","0.5?C","6"
"February","4.6?C","8.6?C","1.5?C","7"
"March","8.5?C","12.7?C","5.1?C","9"
"April","14.2?C","18.6?C","10.6?C","10"
"May","19.2?C","23.5?C","15.7?C","9"
"June","23.4?C","27.2?C","20.3?C","10"
"July","27.8?C","31.6?C","24.8?C","8"
"August","27.7?C","31.5?C","24.7?C","7"
"September","23.6?C","27.2?C","20.5?C","9"
"October","18.3?C","22.3?C","14.7?C","5"
"November","12.4?C","16.7?C","8.6?C","5"
"December","6.1?C","10.6?C","2.4?C","4"
