"順位","氏名","所属","記録"
"1","lebedevatatia","rus","6m60"
"&#160;","ﾀﾁｱﾅ･ﾚﾍﾞﾃﾞﾜ","&#160;","&#160;"
"2","jimohfunmi","usa","6m48"
"&#160;","ﾌｧﾝﾐ・ｼﾞﾓ ｱﾒﾘｶ","&#160;","&#160;"
"3","masumisachiko","jpn","6m43"
"&#160;","桝見　咲智子","&#160;","&#160;"
"4","spanovicivana","srb","6m34"
"&#160;","ｲﾊﾞﾅ･ｽﾊﾟﾉﾋﾞｯﾁ","&#160;","&#160;"
"5","imurakumiko","jpn","6m30"
"&#160;","井村　久美子","&#160;","&#160;"
"6","satoyoshimi","jpn","6m17"
"&#160;","佐藤　芳美","&#160;","&#160;"
"7","hanaokamaho","jpn","6m02"
"&#160;","花岡　麻帆","&#160;","&#160;"
"8","koutakehanako","jpn","5m99"
"&#160;","髙武　華子","&#160;","&#160;"
