"pitching  - wins","&nbsp;","pitching - strikeouts","pitching - strikeouts","pitches - saves","&nbsp;","stolen bases","&nbsp;"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"cy  young","511","nolan ryan","5714","mariano rivera","603","rickey henderson","1406"
"walter  johnson","417","randy johnson","4875","trevor hoffman","601","lou brock","938"
"grover� alexander","373","roger clemens","4672","lee smith","478","billy hamilton","937"
"christy  matthewson","373","steve carlton","4136","john franco","424","ty cobb","892"
"pud  galvin","365","bert blyleven","3701","billy wagner","422","tim raines","808"
"warren  spahn","363","tom seaver","3640","dennis eckersley","390","vince coleman","752"
"kid  nichols","361","don sutton","3574","jeff reardon","367","eddie collins","743"
"greg  maddux","355","gaylord perry","3534","troy percival","358","max carey","738"
"roger  clemens","354","walter johnson","3508","randy myers","347","honus wagner","722"
"tun  keefe","344","greg maddux","3371","rollie fingers","341","arlie lathan","707"
"steve  carlton","329","phil niekro","3342","john wetteland","330","joe l. morgan","689"
"eddie  plank","326","ferguson jenkins","3192","francisco cordero","327","willie wilson","668"
"nolan  ryan","324","pedro martinez","3154","roberto hernandez","326","bert campaneris","649"
"don  sutton","324","bob gibson","3117","jose mesa","321","kenny lofton","622"
"phil  niekro","318","curt schilling","3116","todd jones","319","otis nixon","620"
"gaylord  perry","314","john smoltz","3084","rick aguilera","318","george davis","615"
"tom  seaver","311","jim bunning","2855","robb nen","314","maury wills","586"
"charles  radbourne","309","micky lolich","2832","tom henke","311","ozzie smith","580"
"mickey  welch","307","mike mussina","2813","rich gossage","310","tom t. brown","578"
"tom  glavine","305","cy young","2803","jeff montgomery","304","bid mcphee","568"
"randy  johnson","303","frank tanana","2773","doug jones","303","brett butler","558"
"lefty  grove","300","david cone","2655","jason isringhauser","300","davey lopez","557"
"early  wynn","300","chuck finley","2610","bruce sutter","300","bill dahlen","555"
"bobby matthews","297","tom glavine","2607","francisco rodriguez","291","dummy hoy","555"
"tommy  john","288","warren spahn","2583","armando benitez","289","juan pierre","554"
"bert  blyleven","287","bob feller","2581","rod beck","286","cesar cedeno","550"
"robin  roberts","286","tun keefe","2564","bob wickman","267","george van  haltren","548"
"tony  mullane","284","jerry koosman","2556","joe nathan","261","herman long","536"
"ferguson  jenkins","284","javier vazquez","2536","todd worrell","256","patsy donovan","518"
"jim  kaat","283","christy matthewson","2502","dave righetti","252","jack doyle","516"
"red  ruffing","273","don drysdale","2486","dan quisenberry","244","barry bonds","514"
"burleigh  grimes","270","jack morris","2478","jose valverde","242","luis aparicio","506"
"mike  mussina","270","mark langston","2478","sparky lyle","238","fred clarke","506"
"jim  palmer","268","jim kaat","2461","ugueth urbina","237","paul molitor","504"
"jamie moyer","267","sam mcdowell","2453","hoyt wilhelm","227","hugh duffy","496"
"bob  feller","266","luis tiant","2416","brad lidge","222","willie keeler","495"
"eppa  rixley","266","jamie moyer","2405","jonathan papelbon","219","clyde milan","495"
"jim  mccormick","264","dennis eckersley","2401","gene garber","218","omar moreno","487"
"gus  weyhing","264","kevin brown","2397","gregg olson","217","john ward","477"
"ted  lyons","260","sandy koufax","2396","dave smith","216","roberto alomar","474"
"red  faber","254","charlie hough","2362","jeff shaw","203","mike griffin","473"
"jack  morris","254","robin roberts","2357","bobby thigpen","201","tommy mccarthy","468"
"carl  hubbell","253","early wynn","2334","&nbsp;","&nbsp;","jimmy sheckard","465"
"bob  gibson","251","rube waddell","2316","&nbsp;","&nbsp;","eric young","465"
"al  spalding","251","juan marichal","2303","&nbsp;","&nbsp;","delino deshields","463"
"vic  willis","249","dwight gooden","2293","&nbsp;","&nbsp;","bobby bonds","461"
"jack  quinn","247","lefty grove","2266","&nbsp;","&nbsp;","ron leflore","455"
