"table name","table type","rating","# of ratings","historic era","author(s)","download"
"v humankind's last pinball","original","7.0","1","2002","david f. lora r.","NULL"
"007 agent under fire","original","10.0","1","2002","chris briggs","NULL"
"1000 bornes","original","","","2004","patrick (liberty)","NULL"
"10th inning","electro-mechanical","6.2","6","1948 united manufacturing company","warrior","NULL"
"1940ptlnd","original","","","2003","nissananimal","NULL"
"1960 - 1990 ford falcon","original","7.0","1","2002","alehawk","NULL"
"2 in 1 two (2 in 1 part dux)","original","","","2002","druadic / will degelmann","NULL"
"2 in 1","original","7.0","1","2002","tiltjlp","NULL"
"2 player vs head to head","original","2.0","2","2002","faded knight","NULL"
"2001 a santa odyssey","original","7.0","3","2001","ripleyyy & joe entropy","NULL"
"2001","electro-mechanical","7.3","4","1971 gottlieb","robair","NULL"
"21","electro-mechanical","8.5","2","1960 williams electronic manufacturing co.","marc bouchard","NULL"
"24th","original","","","2002","wrenchien","NULL"
"250cc","vpinmame","","","1992 inder of spain","destruk tab maior inkochnito","aj"
"25th","original","8.0","1","2003","wrenchien","NULL"
"300","electro-mechanical","6.0","4","1975 gottlieb","aussie34","NULL"
"360","original","10.0","1","2002","wrenchien","NULL"
"4 corners","electro-mechanical","4.0","1","1952 gottlieb","redswal","NULL"
"4 eyes clock","non pinball game","","","2002","apocalypse","NULL"
"4 eyes video poker","non pinball game","7.6","5","2002","4eyes","NULL"
"4 roses","electro-mechanical","4.0","1","1962 williams electronic manufacturing co.","redswal","NULL"
"4 square","electro-mechanical","5.6","5","1971 gottlieb","hugh janus & chris harris","NULL"
"441","original","","","2003","wrenchien","NULL"
"4-belles","electro-mechanical","5.0","2","1954 gottlieb","leon spalding furio","NULL"
"4eyes silly screen saver","original","","","2003","4eyes","NULL"
"5 star","flipperless","","","1951 universal industries","patrick & tiltjlp","pinball nirvana"
"52pickup","original","7.0","3","2002","bj","NULL"
"57chevy","original","","","2003","paul e l","NULL"
"5-irony","original","8.0","1","2003","wrenchien","NULL"
"7 of 9 ball","non pinball game","4.5","2","2001","apocalypse","NULL"
"7 of 9: the slots","non pinball game","5.0","3","2002","apocalypse","NULL"
"911 tribute pinball","vpinmame","","","2002","nick mancini","aj"
"a winter's wonderland","original","10.0","1","2002","terry briggs","NULL"
"a-b-c bowler","electro-mechanical","","","1941 gottlieb","redswal","NULL"
