"Wikipage page ID","Wikipage revision ID","label"
"47809366","681046384","1912 German Men's Eight Rowing Team"
"","","Annekatrin Thiele"
"","","Jens Köppen"
"","","Jürgen Thiele"
"","","Lutz Ulbricht"
"","","Ute Stange"
"","","Rudolf Eckstein"
"","","Bernd Baumgart"
"","","Franz Held (Sportwissenschaftler)"
"","","Gerd Völs"
"","","Jürgen Arndt"
"","","Otto Liebing"
"","","Manuela Lutze"
"","","Fritz Bartholomae"
"","","Peter Funnekötter"
"","","Heinz Kaufmann (Ruderer)"
"","","Frank Schepke"
"","","Hendrik Reiher"
"","","Dana Pyritz"
"","","Hans Maier (Ruderer)"
