"company name:","yingkou chenxing industry co. ltd."
"product/services:","espatoflúor magnesite talco bentonite activados branqueamento terra pipe acessórios"
"contact person:","mr. yu zhang "
"mobile phone:","008613840713170"
"telephone:","0086-417-6247320"
"fax:","0086-417-6247320"
"street address:","tienan street laobian district yingkou city liaoning province. china  yingkou  liaoning"
"country/region:","china"
"zip:","115005"
"website:","http://www.ykchenxing.com;http://ykcx.en.yesbtob.com"
