"Main Features","Main Features","Main Features"
"&nbsp;","Year built","2002"
"&nbsp;","Living space","600&nbsp;sqm"
"&nbsp;","Lot size","4200&nbsp;m&sup2;"
"&nbsp;","Number of rooms","11"
"&nbsp;","Outbuildings","3 (total 45&nbsp;sqm)"
"&nbsp;","Terrace/balcony","Yes"
"&nbsp;","Enclosed land?","Yes"
"Rooms","Rooms","Rooms"
"&nbsp;","Kitchen","Fitted and equipped"
"&nbsp;","Bedrooms","4"
"&nbsp;","Bathrooms","5"
"&nbsp;","Shower rooms","5"
"Proposed lodgings","Proposed lodgings","Proposed lodgings"
"&nbsp;","Number of lodgings","1 of which 2 with separate access"
"&nbsp;","Rooms with bathroom and WC","4"
"&nbsp;","Suites","2"
"Financial information","Financial information","Financial information"
"&nbsp;","Ad poster's currency","EUR"
"&nbsp;","Furnished?","Yes"
"&nbsp;","Vacant/rented?","Vacant"
"&nbsp;","Type of clientele","International clientele national clientele tourists"
"ADDITIONAL INFORMATION","ADDITIONAL INFORMATION","ADDITIONAL INFORMATION"
