"birth place","label","Geburtsort"
"http://dbpedia.org/resource/Minneapolis","Jeffrey Eyster","http://dbpedia.org/resource/Minneapolis"
"","Jeffrey Kite",""
"http://dbpedia.org/resource/Guatemala","Jeimmy Aburto","http://dbpedia.org/resource/Guatemala"
"","Jekalyn Carr","http://dbpedia.org/resource/Arkansas"
"Washington","Jen Vaughn","http://dbpedia.org/resource/Oklahoma"
"http://dbpedia.org/resource/Philippines","Jennifer Paz","http://dbpedia.org/resource/Philippines"
"","Jennifer Percy",""
"Munich","Jennifer Teege","http://dbpedia.org/resource/Munich"
"","Jenny Lee Lindberg","http://dbpedia.org/resource/Honolulu"
"http://dbpedia.org/resource/United_States","ジャーモール・チャーロ","http://dbpedia.org/resource/United_States"
"","Jerome Booth",""
