"hospital name","city","staffedbeds","totaldischarges","patientdays","gross patientrevenue ($000)"
"abington memorial hospital","abington","627","37410","169718","$3313942"
"advanced surgical hospital","washington","0","0","0","$0"
"albert einstein medical center","philadelphia","1012","25617","129936","$2819396"
"alle-kiski medical center","natrona heights","258","8819","40429","$421682"
"allegheny general hospital","pittsburgh","582","26625","149421","$2374515"
"altoona hospital","altoona","439","17867","80519","$892259"
"altoona hospital - 7th avenue campus","altoona","0","0","0","$0"
"aria health - bucks county campus","langhorne","0","0","0","$0"
"aria health - frankford campus","philadelphia","0","0","0","$0"
"aria health - torresdale campus","philadelphia","476","28652","139632","$2025090"
"armstrong county memorial hospital","kittanning","172","6487","28953","$216247"
"berwick hospital center","berwick","337","3325","12167","$269703"
"bloomsburg hospital","bloomsburg","72","2612","8968","$158719"
"bradford regional medical center","bradford","182","3130","16068","$132520"
"brandywine hospital","coatesville","200","7860","34925","$619781"
"bryn mawr hospital","bryn mawr","323","18514","77598","$1272939"
"butler memorial hospital","butler","258","11951","53567","$634525"
"cancer treatment centers of america at eastern regional medical center","philadelphia","40","1156","10853","$0"
"canonsburg general hospital","canonsburg","104","3818","15954","$165021"
"carlisle regional medical center","carlisle","165","5690","25234","$366996"
"chambersburg hospital","chambersburg","240","11393","43021","$547242"
"chestnut hill hospital","philadelphia","145","6769","26974","$709512"
"clarion hospital","clarion","77","2714","9865","$90165"
"clearfield hospital","clearfield","96","3375","14783","$175164"
"community hospital","harrisburg","0","0","0","$0"
"community medical center","scranton","297","10498","48401","$543472"
"coordinated health hospital of allentown","allentown","22","675","1525","$59676"
"coordinated health orthopedic hospital highland campus","bethlehem","20","979","2864","$86440"
"crozer-chester medical center","upland","559","31005","131132","$4806698"
"delaware county memorial hospital","drexel hill","245","10972","50490","$1470279"
"doylestown hospital","doylestown","247","13681","55524","$953663"
"dubois regional medical center west","dubois","214","9943","39208","$508755"
"eagleville hospital","eagleville","68","1204","10190","$50424"
"easton hospital","easton","209","10403","49946","$1124447"
"edgewood surgical hospital","transfer","10","133","375","$30446"
"einstein at elkins park","elkins park","0","0","0","$0"
"elk regional health center","saint marys","218","2698","10862","$169287"
"ellwood city hospital","ellwood city","95","1929","8382","$57766"
"ephrata community hospital","ephrata","138","7011","28208","$423492"
"erie va medical center","erie","0","0","0","$0"
"evangelical community hospital","lewisburg","132","5601","19067","$203829"
"forest health medical center of bucks county","langhorne","0","0","0","$0"
"fox chase cancer center","philadelphia","100","4802","23030","$470441"
"frick hospital","mount pleasant","102","3530","15558","$136423"
"geisinger - shamokin area community hospital","coal township","68","2363","9330","$72250"
"geisinger medical center","danville","427","23372","121122","$3223773"
"geisinger wyoming valley medical center","wilkes-barre","242","12256","50000","$1385197"
"gettysburg hospital","gettysburg","68","4339","17608","$228780"
"gnaden huetten memorial hospital","lehighton","192","2530","12183","$125774"
"grand view hospital","sellersville","203","9700","38865","$663747"
"grove city medical center","grove city","109","2012","8170","$114560"
"hahnemann university hospital","philadelphia","496","17687","106825","$3030437"
"hanover hospital","hanover","106","5139","22509","$228441"
"harrisburg hospital","harrisburg","581","33180","136582","$1182801"
"hazleton general hospital","hazleton","141","5723","30008","$382085"
"heart of lancaster regional medical center","lititz","144","2561","11031","$136111"
