"label","Wikipage page ID","Wikipage revision ID"
"All Saints' Hampton","46890698","676113844"
"Allentown NJ Public Library","",""
"Alquerubim","46739210","662954836"
"Hamburg-Altstadt","46210709","670063919"
"Alumpeedika","47795648","681834486"
"American Museum of Ceramic Art","46836209",""
"Amruka","47767447","680247049"
"アミューズミュージアム","",""
"Anaheim GardenWalk","46954670","675712404"
"Ang Mo Kio - Thye Hua Kwan Hospital","47755009","681276108"
"Animbiigoo Zaagi'igan Anishinaabek First Nation","46862104","667550889"
"Ankutia","47887712","682066977"
"青森県立美術館","46377892",""
