"collegesort","citysort","representativesort","statesort","district","zip codesort"
"ilisagvik college","barrow","don young","ak","a-l","99723"
"charter college","anchorage","don young","ak","a-l","99508"
"university of alaska southeast","juneau","don young","ak","a-l","99801"
"university of alaska - anchorage","anchorage","don young","ak","a-l","99508"
"university of alaska fairbanks","fairbanks","don young","ak","a-l","99775"
"alaska pacific university","anchorage","don young","ak","a-l","99508"
"sheldon jackson college","sitka","don young","ak","a-l","99835"
"university of mobile","mobile","jo bonner","al","1","36663"
"bishop state community college","mobile","jo bonner","al","1","36603"
"alabama southern community college","monroeville","jo bonner","al","1","36460"
"remington college - mobile campus","mobile","jo bonner","al","1","36609"
"united states sports academy","daphne","jo bonner","al","1","36526"
"jefferson davis community college","brewton","jo bonner","al","1","36427"
"university of south alabama","mobile","jo bonner","al","1","36688"
"spring hill college","mobile","jo bonner","al","1","36608"
"faulkner state community college","bay minette","jo bonner","al","1","36507"
"enterprise-ozark community college","enterprise","terry everett","al","2","36331"
"faulkner university","montgomery","terry everett","al","2","36109"
"troy state university montgomery","montgomery","terry everett","al","2","36103"
"lurleen b. wallace community college","andalusia","terry everett","al","2","36420"
"troy state university dothan","dothan","terry everett","al","2","36303"
"h. councill trenholm state technical college","montgomery","terry everett","al","2","36108"
"troy state university","troy","terry everett","al","2","36082"
"reid state technical college","evergreen","terry everett","al","2","36401"
"george c. wallace community college","dothan","terry everett","al","2","36303"
"huntingdon college","montgomery","terry everett","al","2","36106"
"auburn university","auburn","mike rogers","al","3","36849"
"southern christian university","montgomery","mike rogers","al","3","36117"
"alabama state university","montgomery","mike rogers","al","3","36104"
"central alabama community college","alexander city","mike rogers","al","3","35011"
"southern union state community college","wadley","mike rogers","al","3","36276"
"auburn university montgomery","montgomery","mike rogers","al","3","36117"
"tuskegee university","tuskegee institute","mike rogers","al","3","36088"
"chattahoochee valley community college","phenix city","mike rogers","al","3","36869"
"jacksonville state university","jacksonville","mike rogers","al","3","36265"
"prince institute of professional studies","montgomery","mike rogers","al","3","36117"
